sound	source	issue	date	page
BWEEP	LARGE CYLINDRICAL BUMP RISES FROM TOP OF HEAD WHERE BRICK HAD BOUNCED	SPECIAL #23	1977	BONUS INSERT STICKERS
BZOWNT	RAY GUN FIRING	169	SEPT 1974	PAGE 42
BZZNNT	RAY GUN FIRING	169	SEPT 1974	PAGE 42
BZZOWNT	ELECTRIC DRILL APPLIED TO FOREHEAD	SPECIAL #23	1977	BONUS INSERT STICKERS
BZZOWNT!	HEAD IN VEND-O-HAIR MACHINE	143	JUN 1971	PAGE 15
BZZT BZZT	PATIENT RINGING HOSPITAL BUZZER	220	JAN 1981	PAGE 37
BZZZ BZZT	FLYING INSECT	194	OCT 1977	PAGE 39
BZZZT CHUNKA CHUNKA ZIKKIK ZIKKIK FWEEN ZOOKA ZOOKA	CHANGE MACHINE FOR TELEPHONE	205	MARCH 1979	PAGE 37
BZZZT KLIK-KLIK- KLIK-KLIK-KLIK- KLIK GAZOWNT GAZIKKA	VENDING MACHINE ABOUT TO MAKE CHANGE	208	JUL 1979	PAGE 42
BZZZT! WHIR! SCREEEEZT!	SAFECRACKERS	59	DECEMBER 1960	PAGE 15
CAW CAW CAW	CROW	127	JUNE 1969	PAGE 17
CAW-CAW-CAW	WILD GAME CALL	127	JUNE 1969	PAGE 17
CHAKA CHAKA CHAKA CHAKA	MOTHER SHAKING A RATTLE	187	DEC 1976	PAGE 11
CHAKA CHAKA CHAKA CHAKA	BABY SHAKING ANOTHER BABY	187	DEC 1976	PAGE 11
CHAKUNK-DING-RIP	CASH REGISTER KEY PUSHING, RECEIPT TEARING	173	MAR 1975	PAGE 11
CHEEOMP! CHOMP CHOMP CHOMP	ESKIMO EATING A FISH	178	OCT 1975	PAGE 48
CHEEP	INDIANS MAKING NOISES	121	SEPTEMBER 1968	PAGE 14
CHIKA CHUNK	AIRBOAT	122	OCTOBER 1968	PAGE 9
CHIMP CHIMP	FINGERNAIL CHEWING	95	JUNE 1965	PAGE 30
CHIP CHIP CHIP CHIP	MAN CHIPPING AWAY AT END OF TREE WITH AXE	178	OCT 1975	PAGE 15
CHIRP	INDIANS MAKING NOISES	121	SEPTEMBER 1968	PAGE 14
CHK CHK CHA-GONK BRBBRBBRING!	MAN'S EYES BEING POKED LIKE A CASH REGISTERS' KEYS AND JAW POPPING OPEN LIKE A TILL DRAWER	61	MARCH 1961	PAGE 18
CHOMP	GENTEEL BEN EATING	122	OCTOBER 1968	PAGE 8
CHOMP	PATIENT BITING STRING	128	JULY 1969	PAGE 21
CHOMP	MAN EATING	268	JANUARY 1987	PAGE 42
CHOMP CHOMP	FULL MOUTH CHEWING	95	JUNE 1965	PAGE 27
CHOMP CHOMP	BIRD EATING CLAM	135	JUNE 1970	PAGE 29
CHOMP CHOMP	SPIDERMAN EATING A FLY	212	JAN 1980	PAGE 14
CHOMP CHOMP CHOMP	HIPPIE EATING A BANANA	116	JAN 68	PAGE 13
CHOMP CHOMP GLUK CLOMP	BOY EATING SANDWICH	179	DEC 1975	PAGE 11
CHOMP CHOMP URP SLURP GLURK	VULTURES EATING CAR	117	MAR 68	PAGE 11
CHOMP CHOMPLE SLURP GLUP	MAN DRINKING FROM A BOTTLE	233	SEPT 1982	BACK COVER
CHOMP GLORK GLURKLE CHOMP	BOY EATING SANDWICH	179	DEC 1975	PAGE 11
CHOMP GLORT CHONK SHLURP	BOY EATING SANDWICH	179	DEC 1975	PAGE 11
CHOMP! CHOMP CHOMP CHOMP	MAN BITING WRENCH AND CHEWING	96	JULY 1965	PAGE 13
CHONK	NURSE JABBING I.V. INTO PATIENTS ARM	104	JULY 66	PAGE 13
CHONK CHONK CHONK	SUBTOTAL CHOPPING AT DRAGON	235	DEC 1982	PAGE 45
CHONK KRAKLE GLUK	MAN CHEWING GLASS	168	JULY 1974	PAGE 34
CHOOK CHOOK CHOOK CHOOK	MAN DIGGING GROUND	199	JUN 1978	PAGE 11
CHOP CHOP CHOP CHOP	MAN CHOPPING DOWN TREE	178	OCT 1975	PAGE 15
