sound	source	issue	date	page
FLIP BLAP BLAP	WALLPAPER UNROLLING OFF WALL	112	JULY 67	PAGE 32
FLIT	FLATTENED HUMAN BODY FOLDING	92	JAN 1965	PAGE 14
FLOBA-DAP!	BODIES FALLING MANY STORIES TO THE STREET	97	SEPT 1965	PAGE 48
FLOIDOIP	BIRD HATCHES ENORMOUS EGG	SPECIAL #23	1977	BONUS INSERT STICKERS
FLOOF	SMALL RISING SMOKE SIGNAL	181	MAR 1976	PAGE 48
FLOOF	LARGE RISING SMOKE SIGNAL	181	MAR 1976	PAGE 48
FLOOF FLOOF	CROP DUSTER	263	JUNE 1986	PAGE 35
FLOOF FLOOFITY FLIF FLIF FLOF DA-FLAF!	MANY SMOKE SIGNALS RISING QUICKLY	181	MAR 1976	PAGE 48
FLOON	ATOMIC BLAST AT GROUND ZERO	238	APRIL 1983	PAGE 15
FLOOT THWIP THOP KLOP	MAN FOLDING BEACH UMBRELLA	144	JUL 1971	PAGE 23
FLOP	TEETH HITTING GREEN	125	MARCH 1969	PAGE 13
FLOPLOPLOPLOP	WOMAN FALLING IN SLICES	57	SEPTEMBER 1960	PAGE 48
FLORK	HUMAN ORGAN MUSIC	273	SEPTEMBER 1987	PAGE 13
FLOT	FLATTENED HUMAN BODY FOLDING	92	JAN 1965	PAGE 13
FLUK GROON GROON GROON GROON SPLAZITCH SPLAZATCH	VENDING MACHINE PUTTING CHECK MARKS ONTO LUGGAGE	202	OCT 1978	PAGE 42
FOINSAPP	BENT SAW RELEASED IN FACE	SPECIAL #23	1977	BONUS INSERT STICKERS
FOOF	STOVE BEING TURNED ON	116	JAN 68	PAGE 13
FOOM	EXPLOSION	59	DECEMBER 1960	PAGE 16
FOOM FWEE BOOM DOOM DING (12 TIMES)	FIREWORKS ON SCOREBOARD	107	DEC 66	PAGE 29
FOOM!	CONDUCTOR-MAGICIAN TURNING ORCHESTRA INTO RABBITS	55	JUNE 1960	PAGE 8
FOOMP!	SAFE FALLING ON MAN AND WOMAN	54	APRIL 1960	PAGE 40
FOOSH	CAPTAIN KLUTZ RISING IN AIR ON BALLOON	110	APR 67	PAGE 0
FOOSH FWIZZISH	WOMAN ZOOMING OFF AFTER HAVING SEX WITH CONEHEAD	235	DEC 1982	PAGE 45
FOOSHT	BEAM OF LIGHT INSINERATING CHARACTER	240	JULY 1983	PAGE 28
FOOWOOM	FLAMETHROWER SCORCHING CONDEMNED MAN	240	JULY 1983	BACK COVER
FOWM	MASK RETRACTING	87	JUNE 1964	PAGE 10
FROOM	POLICE CAR JUMPING RAMP	185	SEPT 1976	PAGE 12
FRUGGA DUGGA DUGGA DUGGA	SKATEBOARD	274	OCTOBER 1987	PAGE 12
FUMP	BULLY STRONGMAN USES CRANE TO DUMP SAND ON HEAD OF FORMER WEAKLING	80	JULY 1963	PAGE 42
FUNK!	HEAD SPRINGING OUT OF MAN'S BODY	49	SEPTEMBER 1959	PAGE 9
FUNKADA WUNKADA FUNKADA WUNKADA	BOXER HITTING PUNCHING A GUY'S HEAD (APPEARS TO BE PUNCHING BAG)	187	DEC 1976	PAGE 18
FURSH GLURGLE GLUG GLUG GLUG	TOILET FLUSHING	84	JAN 1964	PAGE 48
FURSHGLURK	YECCH MONSTER DROPPING INTO GIANT TOILET	164	JAN 1974	PAGE 32
FUSH	WHITE MAN RUNNING THROUGH WOODS	121	SEPTEMBER 1968	PAGE 14
FUT!	BOY LETTING AIR OUT OF BALLOON WHICH FLIES AWAY	98	OCT 1965	PAGE 48
FWABADAP!	GENTEEL BEN'S WINDOW SHADE SKIN FLAP	122	OCTOBER 1968	PAGE 11
FWADDAPP!	CAVEMEN CLUBBING CAVEWOMAN ON THE HEAD	113	SEPT 67	PAGE 30
FWAK	BRICK BOUNCES OFF TOP OF HEAD	SPECIAL #23	1977	BONUS INSERT STICKERS
FWAK	BRIDE AND GROOM FIGHTING	265	SEPTEMBER 1986	PAGE 32
FWAM	SLIDING WINDOW BROUGHT DOWN HARD ON FINGERS	97	SEPT 1965	PAGE 8
FWAP	THROWING PURSE ON COUNTER	92	JAN 1965	PAGE 29
FWAP	CONSTRUCTION WORKER SLAPPING SIGN OUT OF HIPPIE'S HAND	139	DECEMBER 1970	PAGE 15
FWAP	HAT BEING SLAMMED ON HEAD OF MAN	177	SEPT 1975	PAGE 14
FWAP!	BALLON LETTING AIR OUT OF BOY WHO FLIES AWAY	98	OCT 1965	PAGE 48
FWAPADA DAPADA FWAPADA DAPADA	BOXER HITTING PUNCHING A GUY'S HEAD (APPEARS TO BE PUNCHING BAG)	187	DEC 1976	PAGE 18
FWEE	HAT FLYING OFF HEAD (MAN REACTING TO HORROR COMIC)	177	SEPT 1975	PAGE 14
FWEE!	HAIR RAISING	98	OCT 1965	PAGE 28
FWEEE	BABY FLYING THROUGH AIR	174	APRIL 1975	PAGE 11
FWEEE	RIDER FLYING	274	OCTOBER 1987	PAGE 12
FWEEEEE	SPIDERMAN GETTING QUICKLY LIFTED UP	212	JAN 1980	PAGE 14
FWEEP	GENTEEL BEN LOOKING AT FEMALE BEAR	122	OCTOBER 1968	PAGE 8
FWEEP	SNAKE CHARMER'S FLUTE	124	JANUARY 1969	PAGE 11
FWIP	GLOVE DOOR OPENING	138	OCTOBER 1970	PAGE 35
FWIP	SIAMESE TWINS ROLLING OVER IN BED	142	APR 1971	PAGE 29
FWIP	MERVYN FANNING A DECK OF CARDS	227	DEC 1981	PAGE 24
FWIP	BRIDE THROWING BOUQUET	265	SEPTEMBER 1986	PAGE 40
FWIP FWAP FWIZZAP ZIP	JANE TYING TWO VINES TOGETHER	228	JAN 1982	PAGE 11
FWIPADA DIPADA FWIPADA DIPADA	BOXER HITTING PUNCHING A GUY'S HEAD (APPEARS TO BE PUNCHING BAG)	187	DEC 1976	PAGE 18
FWISK	MAN GRABBING WILD GAME CALL	127	JUNE 1969	PAGE 17
FWISK	WAITER RUNNING	268	JANUARY 1987	PAGE 42
FWISK FWISK	A HOTEL MAID DUSTING	222	APRIL 1981	PAGE 11
FWISK FWISK	MAN SWEEPING DESERTED ISLAND SLOWLY	229	MARCH 1982	PAGE 19
FWISK FWISK FWISKITTY FWASK	MAN SWEEPING DESERTED ISLAND	229	MARCH 1982	PAGE 19
FWISK FWISK FWIZZACH FWACH ZACHITTY ZICH SHAZZATZ FWISK ...	MAN SWEEPING DESERTED ISLAND QUICKLY	229	MARCH 1982	PAGE 19
FWISK FWISKITTY FWASK	BUM RAPIDLY PICKING UP CASH FROM PAVEMENT	245	MARCH 1984	PAGE 11
FWISK GLURK	BLACK MAN GRABBING BOTTLE OUT OF RUBBYS MOUTH TO MAKE A MOLETOFF COCKTAIL	117	MAR 68	PAGE 38
FWISK GLURK	TARZAN GRABBING CHIMP, NOT JANE	119	JUN 68	PAGE 11
FWIT FWAP ZOT SWIT FOOP	CAMPER UN-FOLDING	152	JUL 1972	PAGE 12
FWIT-THHAT FIP THWAT FAP SIT THUMP	MAN APPLYING WALLPAPER TO WALL	112	JULY 67	PAGE 32
FWIZZ	THROWING A CHESS BOARD	194	OCT 1977	PAGE 39
FWOF	ELEPHANT FLASHING JANE	245	MARCH 1984	PAGE 42
FWOOF	ESKIMO LETTING HOT AIR OUT OF SUIT	170	OCT 1974	PAGE 48
FWOOSH	WOMAN SWING A TENNIS RACKET	218	OCT 1980	PAGE 11
FWOOSH SPASHLE	MAN BEING SPLASHED IN FACE FROM HOSE	232	JULY 1982	PAGE 29
FWOOSHSH SPLOSH GALOOOM FSSSH	A SEA SHELL	226	OCT 1981	PAGE 14
FWOP	PARACHUTE OPENING	240	JULY 1983	PAGE 27
FWUMP	WAREWOLF BEING CAUGHT BY DOG CATCHER	207	JUN 1979	BACK COVER
FXLGXTLKFXG!	WOMAN SWEARING	33	JUNE 1957	PAGE 12
GAAH	INDIANS GETTING SHOT	121	SEPTEMBER 1968	PAGE 15
GACK	INDIANS GETTING SHOT	121	SEPTEMBER 1968	PAGE 15
GAK	MAN CHOKING	268	JANUARY 1987	PAGE 42
GAPLONK	KING KONG JUMPING ON BUILDINGS	262	APRIL 1986	PAGE 24
GARRARGH!	MAN TURNING INTO A WEREWOLF	207	JUN 1979	BACK COVER
GARUNK GASPLOOSH GARUNK GASPLOOSH	INDIAN PUMPING WATER OUT OF CACTUS	204	JAN 1979	PAGE 23
GASHKLITZ	SQUIRTING FLOWER PARTED BY MOSES	186	OCT 1976	PAGE 15
GASHKLITZ	MAN WITH SQUIRTING FLOWER KNOCKING ANOTHER'S HEAD OFF	203	DEC 1978	PAGE 11
GASHKLITZKA	WATER FROM SQUIRTING FLOWER HITTING FACE	225	SEPT 1981	PAGE 23
GA-SHKLURTZ	VENDING MACHINE SQUIRTING WATER AT MAN	192	JUL 1977	PAGE 11
GASHKUTZGA	FIREMAN BEING HIT WITH WATER FROM SQUIRTING FLOWER	219	DEC 1980	PAGE 15
GASHOOK GRUNCH	BLOCK OF DUNGEON WALL BEING PUSHED OUT	223	JUNE 1981	BACK COVER
GA-SHPLUCT	FARMER STEPS IN COW FLOP	SPECIAL #23	1977	BONUS INSERT STICKERS
GASHPLUTZGA	FIREMAN SQUIRTING GENERAL WITH WATER FROM A HOSE	206	APR 1979	PAGE 11
GASKROOCH	BLOCK OF DUNGEON WALL FALLING OUT	223	JUNE 1981	BACK COVER
GA-SPLORTCH	BOY ENTERING WET CEMENT	190	APR 1977	PAGE 48
GASPLUSH	SMALL EXPLORER BEING DROPPED INTO ABIG POT BY A CANNIBAL	256	JULY 1985	PAGE 10
GEEEN	PLASTIC MAN GIVING A GUY ON THE 32ND FLOOR THE FINGER	210	OCT 1979	PAGE 23
GIGAZING	TROWLING WET CEMENT	190	APR 1977	PAGE 48
GING	GENTEEL BEN LOOKING AT FEMALE BEAR	122	OCTOBER 1968	PAGE 8
GING GEEEN	IV'S STRETCHING	243	DEC 1983	BACK COVER
GING GING	VIOLIN STRING	136	JULY 1970	PAGE 13
GING GING	WORM BEING STRETCHED	147	DEC 1971	PAGE 11
GING GING	JACK-IN-A-BOX COMING OUT OF A COFFIN	213	MARCH 1980	PAGE 16
GING GING	JACK-IN-A-BOX COMING OUT OF A PERSON	231	JUNE 1982	BACK COVER
GING GING	BOW BEING PULLED	250	OCT 1984	BACK COVER
GING GING	SPRING	272	JULY 1987	PAGE 14
GING GING, THWAT	SCHOOLBOY STRETCHING A RUBBER BAND SLINGSHOT AND THEN FIRING AND HITTING CURVY TEACHER'S BUTT	244	JAN 1984	PAGE 23
GING GOYNG	MASK FLYING OFF FACE	87	JUNE 1964	PAGE 10
GING POING SWAP ZIT SHTIK FLIK GLUT	FROG CATCHING FLY	118	APR 68	14-15
GISHKLORK	KING KONG STEPPING ON SOMEBODY	262	APRIL 1986	PAGE 22
GISHKLURK	SOUP PARTING AS DONE BY MOSES	186	OCT 1976	PAGE 15
GLADINK BZZZT KLADWAK SPROINK FWAK KAZIK	VENDING MACHINE DELIVERING FRESH MILK	206	APR 1979	PAGE 48
GLANGADANG GALOON GLONG GADONG	WEDDING BELLS	177	SEPT 1975	INSIDE FRONT COVER
GLANK	STICK AGAINST HEAD	153	SEP 1972	PAGE 18
GLAWK!	BIRD BEING FORCE FED BIRD VITAMINS	180	JAN 1976	PAGE 22
GLEET-GLEET	INDIANS MAKING NOISES	121	SEPTEMBER 1968	PAGE 14
GLIK GLIK GLIK GLIK	WATER BAG LEAKING	126	APRIL 1969	PAGE 13
GLIKA-GLIKA	INDIANS MAKING NOISES	121	SEPTEMBER 1968	PAGE 14
GLINK	WORM POPPING OUT OF GROUND	147	DEC 1971	PAGE 11
GLINK	FLYING TOENAIL LANDING IN CAN OF BEER	162	OCT 1973	PAGE 39
GLINK	WALK LIGHT CHANGING	195	DEC 1977	PAGE 31
GLINK	MANIAC BOY PULLS WING OFF FLY	SPECIAL #23	1977	BONUS INSERT STICKERS
GLINK	WATER FALLING INTO A TIN CUP	237	MARCH 1983	PAGE 27
GLINK	SINGLE RAINDROP	184	JUL 1976	PAGE 15
GLINK PLINK GLUNK DINK	SEVERAL RAINDROPS	184	JUL 1976	PAGE 15
GLIP SHPIKKLE GLUP GAPLORK SHLIPP SPLOP GLIT PLOBBLE SHLORP GLOOP BLOP SKLOP SHLURP PLIPPLE SLOTCH SHLOOP	A BOWL OF SOUP	233	SEPT 1982	PAGE 21
GLISH GLUTCH YAK AWK GAROOF WEEOOOEEEOOO BLOOMBLOOM YAGGAK WHAP ROWR GROWR GURGLE GLUK	DOMESTIC MAYHEM AND CARNAGE INVOLVING A SMALL CHILD, HIS MOTHER, A DOG AND A POLICE OFFICER	242	OCT 1983	PAGE 48
GLIT	PULLING HAT FROM WET CEMENT	190	APR 1977	PAGE 48
GLITCH	FOOT SQUASHES DOG POOP	SPECIAL #23	1977	BONUS INSERT STICKERS
GLIT GLIT GLIT	MAN DROPPING RAZOR BLADES INTO MOUTH	168	JULY 1974	PAGE 34
GLIT GLIT GLIT GLIT	OLIVE OYL EATING SPINACH	224	JULY 1981	PAGE 16
GLIT GLIT GLIT GLIT GLOYDOIP GLIT-GLIKITY GLIT GLONT	PATIENT FILLING AND EMPTYING I.V. BAG	104	JULY 66	PAGE 13
GLIT GLORT BLEEBLE DURP	DRIPPING TAP AND LICENCED PLUMBERS	185	SEPT 1976	PAGE 48
GLIT GLORT BLEEBLE DURP GLIT GLORT BLEEBLE DURP	DRIPPING FAUCET	SPECIAL #23	1977	BONUS INSERT STICKERS
GLOMP GLUKKLE SHLIK SHLORP GHOMP GLUNK GLIK SHTORK	LORD GREYSTROKE EATING RAVENOUSLY	250	OCT 1984	PAGE 14
GLOOCHLE GLOOCHLE GLUTCH	SCULPTOR MOLDING MAN'S FACE	229	MARCH 1982	PAGE 11
GLOODLE	HUMAN ORGAN MUSIC	273	SEPTEMBER 1987	PAGE 13
GLOOK	WOMAN REELING A TIRE OUT OF HUSBANDS' THROAT USING FISHING POLE	72	JULY 1962	PAGE 10
GLOOP	GOLF BALL HITTING WATER	125	MARCH 1969	PAGE 12
GLOOP	BABY WITH SPOON IN A BOWL	211	DEC 1979	PAGE 48
GLOOP (7 TIMES) GLUT	PATIENT EMPTYING I.V. BAG	104	JULY 66	PAGE 25
GLOOP GLOOP GLOOP GLOIP	PATIENT EMPTYING I.V. BAG	104	JULY 66	PAGE 13
GLOOP!	FLOWER BEING PULLED OUT OF SMALL ISLAND	83	DEC 1963	PAGE 27
GLOOT-GLOOT	INDIANS MAKING NOISES	121	SEPTEMBER 1968	PAGE 14
GLORP	BABY WITH SPOON IN A BOWL	211	DEC 1979	PAGE 48
GLUG GLUG GLUG GLUG	ISLAND SINKING INTO OCEAN	83	DEC 1963	PAGE 27
GLUK	KING KONG THROWING FOOD INTO MOUTH	198	APR 1978	PAGE 21
GLUK	TARZAN WITH HIS MOUTH STUFFED FULL	248	JULY 1984	PAGE 9
GLUK GLUK GLOOPLE SPLORT	BOY SUCKING DOWN DRINK FROM BOTTLE	179	DEC 1975	PAGE 11
GLUK GLUK GLUK GLUK	INDIAN DRINKING FIRE WATER	162	OCT 1973	PAGE 27
GLUK GLUK GLUK GLUK	POPEYE EATING SPINACH	224	JULY 1981	PAGE 16
GLUK!	POGO STICK FALLING DOWN MAN'S GULLET	67	DECEMBER 1961	PAGE 8
GLUKKLE	MAN EATING	268	JANUARY 1987	PAGE 42
GLUNK GLUNK GLUNK	DRINKING BEER	154	OCT 1972	PAGE 48
GLURKLE GLOOK GLORKLE GLUT	BOY SUCKING DRINK THROUGH STRAW IN BOTTLE	179	DEC 1975	PAGE 11
GLUT	MAN TOSSING WRENCH DOWN HIS THROAT	96	JULY 1965	PAGE 13
GLUT!	TONGUE LASHING	98	OCT 1965	PAGE 28
GOING	GENTEEL BEN LOOKING AT FEMALE BEAR	122	OCTOBER 1968	PAGE 8
GOING GADOING GADANG GLOING	CAR BOUNCING ON SPRINGS	180	JAN 1976	PAGE 21
GOOMA-DOOM	OIL TANKER EXPLODING	243	DEC 1983	PAGE 13
GORSHLE GUSH	WATER RUNNING FROM DIKE	184	JUL 1976	PAGE 48
GRAWK!!!	GAGGED MAN TRYING TO TALK	272	JULY 1987	PAGE 43
GREEDLE-GREEDLE	SNAKE CHARMER'S FLUTE	124	JANUARY 1969	PAGE 11
GRING	TELEPHONE RING	143	JUN 1971	PAGE 47
GROINK	MAN TURNING INTO A WEREWOLF	263	JUNE 1986	PAGE 12
GROWWWWMMM	CAR GROWLING ITS ARRIVAL	95	JUNE 1965	PAGE 29
GRRM	MOTORCYCLE IN DISTANCE	185	SEPT 1976	PAGE 11
GRROWN	MOTORCYCLE	185	SEPT 1976	PAGE 11
GRRR	JEEP RACING UP HILL	93	MAR 1965	PAGE 7
GRRRRRR...	ANGRY DOGS GRAWLING AT FIREMAN	219	DEC 1980	PAGE 12
GRUNCH GRUNCH GASHLIKT!	SCULPTOR PRESSING THUMBS INTO MAN'S HEAD	229	MARCH 1982	PAGE 11
GUKGUK	PEOPLE VOMITING	266	OCTOBER 1986	PAGE 48
GURN GURN GURN GURN GURN GURN GURN GURN	FLY REMOVER VENDING MACHINE WORKING	198	APR 1978	PAGE 48
GUWK	PEOPLE VOMITING	266	OCTOBER 1986	PAGE 48
GWAP	DOG BITTING WOMAN'S NOSE	246	APRIL 1984	PAGE 42
GYAAUGHT	PEOPLE VOMITING	266	OCTOBER 1986	PAGE 48
HAKKLE SLICE SHLURP BOIL RIP HAC CHOMP COOK EAT TEAR CHOMPITY-CHOMP, ETC	ROBINSON CRUSOE AND FRIDAY EATING FOOD AND EACH OTHER	75	DECEMBER 1962	PAGE 27
HAR HAR	LAUGHTER	261	MARCH 1986	PAGE 42
HEE-DE-HEE-HEE	LAUGHTER	261	MARCH 1986	PAGE 42
HEH HEH	LAUGHTER	261	MARCH 1986	PAGE 42
HIC HIC HIC HIC HIC HIC HIC HIC HIC HIC HIC HIC HIC	MAN WITH HICUPS	207	JUN 1979	PAGE 48
HIC!	HICK-UP	151	JUN 1972	PAGE 9
HM-M-M-M M M M M M M M M M M M	BARBERS' BUZZ CUTTER	76	JANUARY 1963	PAGE 48
HO HA	LAUGHTER	261	MARCH 1986	PAGE 42
HO-HUM	MAN YAWNING IN STREET	61	MARCH 1961	PAGE 9
HONK	SNAKE CHARMER'S FLUTE	124	JANUARY 1969	PAGE 11
HOOT	INDIANS MAKING NOISES	121	SEPTEMBER 1968	PAGE 14
HUFF...PUFF...HMMMM... AHHH...MMMMMM... HUFFA...PUFFA...GASP!	A SEA SHELL	226	OCT 1981	PAGE 16
HUFFLE-PUFFLE	DRACULA BREATHING WHILE RUNNING	213	MARCH 1980	PAGE 14
HUSH	INDIAN RUNNING THROUGH WOODS	121	SEPTEMBER 1968	PAGE 14
HUSHLE	INDIAN RUNNING THROUGH WOODS	121	SEPTEMBER 1968	PAGE 14
ING DING DING DING DIN	GENTEEL BEN LOOKING AT FEMALE BEAR	122	OCTOBER 1968	PAGE 8
INKLE-KLINK	A QUARTER BEING DEPOSITED INTO A MACHINE	255	JUNE 1985	PAGE 48
JUGARUM	INDIANS MAKING NOISES	121	SEPTEMBER 1968	PAGE 14
KABOOMM	FIVE STEEL FOUNDRY TOURISTS POUNDED BY A STEEL MOLD POUNDER	62	APRIL 1961	PAGE 11
KACHOO! KACHAAH! KASH SLAPTH!	LAB ASSISTANT SNEEZING	73	SEPTEMBER 1962	PAGE 15
KACHUGH! CHUH!	TRAIN ENGINE	68	JANUARY 1962	PAGE 8
KACHUNK	PRINCE JUMPING ONTO RAPUNZEL'S HAIR	129	SEPTEMBER 1969	PAGE 13
KACHUNK	PRINCE JUMPING ONTO RAPUNZEL'S HAIR	129	SEPTEMBER 1969	INSIDE FRONT COVER
KACHUNK	CANNON EXPELLING CANNONBALLER SUIT	177	SEPT 1975	PAGE 48
KACHUNK GING PSSSSH	VENDING MACHINE IRONING AN OLD LADY	203	DEC 1978	PAGE 48
KACHUNK KKKSH	TYPIST KNOCKING COMPUTER TERMINAL OFF DESK	258	OCT 1985	PAGE 24
KACHUNK SHOOK SHOOK SHOOK SHOOK	PRINCE CLIMBING RAPUNZEL'S HAIR	129	SEPTEMBER 1969	PAGE 13
KACHUNK SHOOK SHOOK SHOOK SHOOK	PRINCE CLIMBING RAPUNZEL'S HAIR	129	SEPTEMBER 1969	PAGE 38
KACHUNKA	CROP DUSTER	263	JUNE 1986	PAGE 35
KACHUNK-KACHUNKA KACHUNK-KACHUNK KA-BONG	MAN DUNKED INTO A CAKE BAKING MACHINE AND POPPING OUT AS A BAKED CAKE	65	SEPTEMBER 1961	8-9
KAHEEEE	INDIANS ON THE WARPATH	121	SEPTEMBER 1968	PAGE 15
KAKKAKKAKAK	WEDDING PARTY SHOOTING BOUQUET	265	SEPTEMBER 1986	PAGE 40
KAKROOSH	TREE FALLING	131	DECEMBER 1969	PAGE 48
KALLOON	AIRBOAT	122	OCTOBER 1968	PAGE 9
KAPF KAPF KAHIKF KOFF KAHAK KAPF GAK GAHAK	HEAVY COUGHING	175	JUNE 1975	PAGE 21
KAPLAK-KAK PLOOF BARRAMM SPA-DOW BLUKA BLUKA KAKA-SPLAK BLORT SPAP PLORF GADOON BLUT BLUT BLUT	BURPING	154	OCT 1972	PAGE 48
KAPOOOSHSHISH	TREE COLLAPSING ON LITTLE PAIGE	250	OCT 1984	BACK COVER
KARRAK FIZZITZ POW	LIGHTENING HITTING A PERSON	195	DEC 1977	PAGE 47
KASHOOK KASHOOK KASHOOK	MAFIA INFORMANT SHEFFLING ALONG IN SOME CUSTOME MADE CEMENT SHOES	248	JULY 1984	PAGE 48
KASHPRITZA	BUG SPRAY	144	JUL 1971	PAGE 40
KATOOF	FLARE GUN	215	JUNE 1980	11-48
KATOONG	MAN ESCAPING FROM THE DUNGEON	261	MARCH 1986	PAGE 42
KATOONK	PEOPLE HITTING HIJACKER	264	JULY 1986	PAGE 36
KATY-DID	INDIANS MAKING NOISES	121	SEPTEMBER 1968	PAGE 14
KATY-DIDN'T	INDIANS MAKING NOISES	121	SEPTEMBER 1968	PAGE 14
KAWK	MAN CHOKING	268	JANUARY 1987	PAGE 42
KAZASH	TELEVISION HITTING THE CEILING	261	MARCH 1986	PAGE 21
KAZOP!	AIRBOAT	122	OCTOBER 1968	PAGE 9
KCHGGHCK	GENTEEL BEN GETTING FRAMED	122	OCTOBER 1968	PAGE 11
K-CHOOK	ELEVATOR DOOR CLOSING	72	JULY 1962	PAGE 37
KERACKK!	LIGHTNING	133	MARCH 1970	PAGE 15
KIKATIK	INDIANS MAKING NOISES	121	SEPTEMBER 1968	PAGE 14
KING DING PLINK	ZOO KEEPER DROPPING KEY	111	JUNE 67	PAGE 35
KIPF KAPF KOFF KOFF	MODERATE COUGHING	175	JUNE 1975	PAGE 21
KIPF KIPF	LIGHT COUGHING	175	JUNE 1975	PAGE 21
KISS KISS KISS KISS	MAN KISSING SAND	138	OCTOBER 1970	PAGE 11
KISS KISS KISS KISS	KING KONG KISSING THE STATUE OF LIBERTY	262	APRIL 1986	PAGE 24
KITTOONG, SHKLUNK	BRAIN THROWN INTO FRANKENSTIEN'S HEAD LIKE A BASKETBALL	242	OCT 1983	BACK COVER
KKCHK CRACKLE CRUNCH	WALLPAPER UNROLLING WITH WALL ATTACHED	112	JULY 67	PAGE 32
KKCHK FEW	BRICKLAYERS FALLING OF SCAFFOLDING WITH BRICKS	106	OCT 66	PAGE 48
KKKKKKKKKKKK	TREE FALLING	131	DECEMBER 1969	PAGE 48
KKKSH	BRICK THROWN THROUGH A WINDOW	244	JAN 1984	PAGE 48
KKKSSH	SUPERMAN CRASHING THROUGH A WALL	208	JUL 1979	PAGE 17
KLAK	FALSE TEETH CATCHING GOLF BALL	125	MARCH 1969	PAGE 13
KLAK	MOVIE SCENE STARTER	140	JANUARY 1971	PAGE 11
KLAK	MOVIE CLAPBOARD	140	JAN 1971	PAGE 11
KLAK	BANK ROBBER PULLING OPEN A SAFE	222	APRIL 1981	PAGE 48
KLAK KLAK KLAK KLAK	HITTING TWO SMALL ROCKS TOGETHER	153	SEP 1972	PAGE 18
KLAK-KLAK CLATTER-CLATTER GLIKLE KLIK KLAK GLAKKLE	TIN CANS FALLING DOWN	115	DEC 67	PAGE 13
KLAKKLE	TELEPHONE FALLING	272	JULY 1987	PAGE 43
KLANG	WATER SKIER'S HEAD HITTING DRAW BRIDGE	74	OCTOBER 1962	PAGE 15
KLANG	WATER SKIER'S HEAD HITTING ARMORED TRUCK	74	OCTOBER 1962	PAGE 16
KLANG	A CANNONBALL FALLING ON THROWER'S HEAD	83	DEC 1963	PAGE 12
KLANG	HIPPIE HITTING HEAD ON STOVE	116	JAN 68	PAGE 14
KLANG BANG KALOONG KLONG	METAL BEING STRUCK BY HAMMER	191	JUN 1977	BACK COVER
KLANG KLANG KLANG	MAN BEATING A RADIATOR WITH A HAMMER	238	APRIL 1983	PAGE 15
KLANK	METAL HEAD TRAP	261	MARCH 1986	PAGE 42
KLANK FUSHSHKLORK	CEMENT TRUCK	260	JANUARY 1986	PAGE 12
KLIK	THIEF TURNING ON LIGHT	101	MAR 66	PAGE 48
KLIK	AIRBOAT	122	OCTOBER 1968	PAGE 9
KLIK	VIDEO GAME GUN JAMMING	148	JAN 1972	PAGE 18
KLIK	BUTTON ON VARIOUS POWER TOOLS	156	JAN 1973	18-19
KLIK	TOENAIL BEING CLIPPED	162	OCT 1973	PAGE 39
KLIK	PRESSING A BUTTON	196	JAN 1978	PAGE 44
KLIK	MAN COCKING HIS PISTOL	216	JULY 1980	PAGE 17
KLIK	LADY TURNING OFF A LAMP	221	MARCH 1981	PAGE 16
KLIK	BANK ROBBER TURNING HANDLE ON A SAFE	222	APRIL 1981	PAGE 48
KLIK	REMOTE CONTROL	261	MARCH 1986	PAGE 21
KLIK KLAK	CANNON BOLT ACTION	177	SEPT 1975	PAGE 48
KLIK KLAK	MONITOR BEING ADJUSTED	243	DEC 1983	BACK COVER
KLIK KLAK GRAK THAK	MAN FOLDING UP BEACH TABLE	144	JUL 1971	PAGE 23
KLIK KLAK KLIK KLAK	MAN WALKING ACROSS "WATER"	233	SEPT 1982	BACK COVER
KLIK KLAK, ZIK KAZAK, PLOIP	PRIZON INMATE BEING TAKEN OUT OF THE ELECTRIC CHAIR	259	DEC 1985	PAGE 25
KLIK KLIK	MAN TURNING A TELEVISION DIAL	238	APRIL 1983	PAGE 13
KLIK KLIK CHAKLAK	CASH REGISTER KEY PUSHING	173	MAR 1975	PAGE 11
KLIK KLIK KLIK	GUNS GETTING READY	195	DEC 1977	PAGE 15
KLIK KLIK KLIK	CROP DUSTER	263	JUNE 1986	PAGE 35
KLIK KLIK KLIK KLIK	CAPT. KIRK HITTING KEYES ON COMPUTER TERMINAL	251	DEC 1984	PAGE 31
KLIK PLUF KLIK PLUF	CINDERELLA RUNNING	195	DEC 1977	BACK COVER
KLIK VROOM SPOOSH	STARTING MODIFIED AIR CONDITIONER	180	JAN 1976	PAGE 22
KLIK-CHIKAKLAK CHAKLAK	CASH REGISTER KEY PUSHING	173	MAR 1975	PAGE 11
KLIK-KLIK-CHAKLIK	CASH REGISTER KEY PUSHING	173	MAR 1975	PAGE 11
KLIKRUNK GLINK CHAKUNK	MAN PUTTING MONEY INTO VENDING MACHINE	198	APR 1978	PAGE 48
KLIK-SPROING	APE UNLOCKING TOP OF ITS HEAD	111	JUNE 67	PAGE 35
KLINGDINGGOON	ELECTRIC FAN CHOPPING PEOPLES NOSE OFF	113	SEPT 67	PAGE 17
KLINK	A BOWL PURPOSELY TAPPED TO BREAK	81	SEPT 1963	PAGE 48
KLINK	MAN SNAPPING CHAINS OF SHACKLES	199	JUN 1978	PAGE 11
KLINK	MAN PUTTING MONEY INTO VENDING MACHINE	206	APR 1979	PAGE 48
